       1       1    H      
       2       3    He     
       3       6    Li     
       4       9    Be     
       5      10    B      
       6      12    C      
       7      14    N      
       8      16    O      
       9      19    F      
      10      20    Ne     
      11      23    Na     
      12      24    Mg     
      13      27    Al     
      14      28    Si     
      15      31    P      
      16      32    S      
      17      35    Cl     
      18      36    Ar     
      19      39    K      
      20      42    Ca     
      21      45    Sc     
      22      46    Ti     
      23      51    V      
      24      52    Cr     
      25      55    Mn     
      26      54    Fe   
      27      59    Fe     
      28      58    Ni     
