x,Curve1
1581.93,0.105741
1786.48,0.280857
1971.1,0.457727
2157.27,0.695704
2303.83,0.919679
2439.66,1.25017
2738.59,1.74753
3151.74,2.51189
3567.92,3.41455
4210.47,4.84003
4887.25,6.57933
6008.8,11.3382
8241.11,15.4127
11306.7,19.0015
15016.5,18.4785
20459.3,15.6293
27894.6,10.8734
38372,6.48815
50215.1,3.71276
70270.3,1.95393
96576.3,1.49885
134840,1.47808
176137,1.39783
329848,0.881971
449084,0.906934
625715,1.58489
808306,3.22917
1.11642e+06,6.30957
1.51845e+06,8.57696
1.96682e+06,8.34088
2.77203e+06,6.13591
3.68788e+06,3.71276
4.95142e+06,1.79699
6.48553e+06,0.79989
9.32651e+06,0.227812
