x,Curve1
1154.33,0.105512
1228.67,0.217145
1297.56,0.411827
1359.44,0.729653
1590.29,1.25719
1814.04,2.10821
2091.69,2.58407
2411.59,3.2108
2951.35,3.7766
3292.4,4.15183
3859.6,5.3735
4600.85,7.14605
5534.96,8.63836
7248.44,10.1565
9340.48,10.7093
12042.4,10.5485
13914.8,9.71218
16775.1,8.81894
20758.3,7.27827
24209.1,6.00887
28980.3,4.5089
33257.2,3.33841
39475.9,2.50518
47236.9,1.98511
51032.8,1.70804
69237,1.63668
83411.2,1.63487
97957.3,1.65572
125304,1.50292
151077,1.34622
171653,1.22284
227158,1.09474
292897,1.06371
338132,1.10715
389768,1.41368
468340,2.01245
543522,3.23924
625833,4.80483
757701,7.73191
926731,9.86912
1.12515e+06,10.8443
1.42698e+06,9.97898
1.79686e+06,7.69251
2.11402e+06,6.09619
2.44664e+06,4.51342
2.90529e+06,3.20727
3.3651e+06,2.12933
3.86482e+06,1.41375
4.32614e+06,0.977955
4.84446e+06,0.640614
5.37592e+06,0.455407
6.17735e+06,0.28245
7.03417e+06,0.190112
7.61163e+06,0.131536
8.0219e+06,0.104308
