Energy Spectrum of the Pierre Auger Observatory 
presented at the 31st International Cosmic Ray Conference (Lodz, Poland)


===========================================================================

The columns below contain the following information

1)  lg(E): log10(Energy_at_bin_centre)

2)  J*1e30: Flux times 1e30;  in units [J]=1/(m^2 s sr eV) 

3)  J_UL: Statistical uncertainty at upper limit times 1e30 
    (using Feldman Cousins limit for N<20)

4)  J_LL: Statistical uncertainty at lower limit times 1e30 
    (using Feldman Cousins limit for N<20)

--------------------------------------------------------------------------

 lg(E)     J*1.e30       J_UL*1.e30     J_LL*1.e30

 18.05    0.964796966    0.061330988    0.061330988
 18.15    0.461429151    0.029373166    0.029373166
 18.25    0.186986926    0.013123022    0.013123022
 18.35    0.104814305    0.007729726    0.007729726
 18.45    0.042506289    0.000370517    0.000370517
 18.55    0.020655929    0.000233486    0.000233486
 18.65    0.010523915    0.000152249    0.000152249
 18.75    0.005713434    0.000100587    0.000100587
 18.85    0.003166274    0.000067408    0.000067408
 18.95    0.001750225    0.000044893    0.000044893
 19.05    0.000998504    0.000030241    0.000030241
 19.15    0.000525357    0.000019871    0.000019871
 19.25    0.000268475    0.000012468    0.000012468
 19.35    0.000151658    0.000008418    0.000008418
 19.45    0.000075352    0.000005328    0.000005328
 19.55    0.000032231    0.000003076    0.000003076
 19.65    0.000010025    0.000001515    0.000001515
 19.75    0.000005044    0.000000944    0.000000944
 19.85    0.000003231    0.000000661    0.000000661
 19.95    0.000000542    0.000000302    0.000000241
 20.05    0.000000167    0.000000186    0.000000104
 20.15    0.000000000    0.000000081    0.000000000
 20.25    0.000000049    0.000000085    0.000000031
 20.35    0.000000000    0.000000047    0.000000000
 20.45    0.000000000    0.000000036    0.000000000
