		Loss rate (pion production) in pc^-1
	        total rate integrated over the energy of the out-
    Energy	  Proton	 Neutron
  1.001657e+19  1.854656e-10  2.160424e-10
  1.123878e+19  2.250044e-10  2.622799e-10
  1.261013e+19  2.716868e-10  3.168671e-10
  1.414880e+19  3.256004e-10  3.799072e-10
  1.587519e+19  3.864362e-10  4.510411e-10
  1.781226e+19  4.534149e-10  5.293518e-10
  1.998570e+19  5.253462e-10  6.134254e-10
  2.242433e+19  6.010256e-10  7.018225e-10
  2.516053e+19  6.802430e-10  7.943090e-10
  2.823052e+19  7.667690e-10  8.954762e-10
  3.167518e+19  8.744687e-10  1.022093e-09
  3.554016e+19  1.037896e-09  1.215696e-09
  3.987673e+19  1.328186e-09  1.561280e-09
  4.474244e+19  1.873637e-09  2.211175e-09
  5.020176e+19  2.882042e-09  3.410532e-09
  5.632733e+19  4.659261e-09  5.518109e-09
  6.320033e+19  7.614120e-09  9.011281e-09
  7.091196e+19  1.224160e-08  1.446630e-08
  7.956457e+19  1.907825e-08  2.250705e-08
  8.927276e+19  2.862782e-08  3.371980e-08
  1.001657e+20  4.126675e-08  4.854461e-08
  1.123878e+20  5.714781e-08  6.716310e-08
  1.261013e+20  7.613153e-08  8.941656e-08
  1.414880e+20  9.776667e-08  1.147796e-07
  1.587519e+20  1.213276e-07  1.424006e-07
  1.781226e+20  1.459037e-07  1.712038e-07
  1.998570e+20  1.705112e-07  2.000224e-07
  2.242433e+20  1.942056e-07  2.277335e-07
  2.516053e+20  2.161692e-07  2.533674e-07
  2.823052e+20  2.357601e-07  2.761699e-07
  3.167518e+20  2.525297e-07  2.956242e-07
  3.554016e+20  2.662162e-07  3.114388e-07
  3.987673e+20  2.767211e-07  3.235131e-07
  4.474244e+20  2.840860e-07  3.319022e-07
  5.020176e+20  2.884627e-07  3.367768e-07
  5.632733e+20  2.900887e-07  3.383943e-07
  6.320033e+20  2.892671e-07  3.370788e-07
  7.091196e+20  2.863414e-07  3.331985e-07
  7.956457e+20  2.816780e-07  3.271525e-07
  8.927276e+20  2.756431e-07  3.193498e-07
  1.001657e+21  2.685862e-07  3.101930e-07
  1.123878e+21  2.608312e-07  3.000685e-07
  1.261013e+21  2.526637e-07  2.893295e-07
  1.414880e+21  2.443291e-07  2.782913e-07
  1.587519e+21  2.360278e-07  2.672215e-07
  1.781226e+21  2.279163e-07  2.563385e-07
  1.998570e+21  2.201139e-07  2.458156e-07
  2.242433e+21  2.127041e-07  2.357810e-07
  2.516053e+21  2.057423e-07  2.263247e-07
  2.823052e+21  1.992582e-07  2.175020e-07
  3.167518e+21  1.932614e-07  2.093387e-07
  3.554016e+21  1.877482e-07  2.018401e-07
  3.987673e+21  1.827032e-07  1.949931e-07
  4.474244e+21  1.781047e-07  1.887732e-07
  5.020176e+21  1.739256e-07  1.831467e-07
  5.632733e+21  1.701352e-07  1.780733e-07
  6.320033e+21  1.667035e-07  1.735116e-07
  7.091196e+21  1.635997e-07  1.694185e-07
  7.956457e+21  1.607953e-07  1.657526e-07
  8.927276e+21  1.582631e-07  1.624737e-07
  1.001657e+22  1.559769e-07  1.595433e-07
  1.123878e+22  1.539140e-07  1.569270e-07
  1.261013e+22  1.520535e-07  1.545928e-07
  1.414880e+22  1.503775e-07  1.525127e-07
  1.587519e+22  1.488697e-07  1.506613e-07
  1.781226e+22  1.475151e-07  1.490155e-07
  1.998570e+22  1.463018e-07  1.475559e-07
  2.242433e+22  1.452185e-07  1.462651e-07
  2.516053e+22  1.442567e-07  1.451286e-07
  2.823052e+22  1.434084e-07  1.441338e-07
  3.167518e+22  1.426662e-07  1.432689e-07
  3.554016e+22  1.420247e-07  1.425248e-07
  3.987673e+22  1.414788e-07  1.418932e-07
  4.474244e+22  1.410248e-07  1.413679e-07
  5.020176e+22  1.406593e-07  1.409432e-07
  5.632733e+22  1.403788e-07  1.406135e-07
  6.320033e+22  1.401812e-07  1.403751e-07
  7.091196e+22  1.400641e-07  1.402242e-07
  7.956457e+22  1.400263e-07  1.401586e-07
  8.927276e+22  1.400665e-07  1.401758e-07
  1.001657e+23  1.401829e-07  1.402733e-07

