		Pair production (proton) loss rate in pc^-1
    Energy	  Fractional energy loss: eta(E) -> dE/dt=-eta.E
  1.001657e+19  7.400314e-10
  1.123878e+19  7.661035e-10
  1.261013e+19  7.886089e-10
  1.414880e+19  8.074766e-10
  1.587519e+19  8.226905e-10
  1.781226e+19  8.342852e-10
  1.998570e+19  8.423384e-10
  2.242433e+19  8.469659e-10
  2.516053e+19  8.483146e-10
  2.823052e+19  8.465512e-10
  3.167518e+19  8.418399e-10
  3.554016e+19  8.343301e-10
  3.987673e+19  8.241549e-10
  4.474244e+19  8.114328e-10
  5.020176e+19  7.962718e-10
  5.632733e+19  7.787705e-10
  6.320033e+19  7.590225e-10
  7.091196e+19  7.371174e-10
  7.956457e+19  7.131432e-10
  8.927276e+19  6.871891e-10
  1.001657e+20  6.593464e-10
  1.123878e+20  6.297136e-10
  1.261013e+20  5.983988e-10
  1.414880e+20  5.655236e-10
  1.587519e+20  5.312288e-10
  1.781226e+20  4.956772e-10
  1.998570e+20  4.590625e-10
  2.242433e+20  4.216131e-10
  2.516053e+20  3.835978e-10
  2.823052e+20  3.453309e-10
  3.167518e+20  3.071734e-10
  3.554016e+20  2.695346e-10
  3.987673e+20  2.328669e-10
  4.474244e+20  1.976555e-10
  5.020176e+20  1.644026e-10
  5.632733e+20  1.336203e-10
  6.320033e+20  1.057820e-10
  7.091196e+20  8.126159e-11
  7.956457e+20  6.031596e-11
  8.927276e+20  4.304857e-11
  1.001657e+21  2.938540e-11
  1.123878e+21  1.907211e-11
  1.261013e+21  1.169628e-11
  1.414880e+21  6.735615e-12
  1.587519e+21  3.623557e-12
  1.781226e+21  1.818129e-12
  1.998570e+21  8.580177e-13
  2.242433e+21  3.934981e-13
  2.516053e+21  1.894103e-13
  2.823052e+21  1.064627e-13
  3.167518e+21  7.264422e-14
  3.554016e+21  5.580384e-14
  3.987673e+21  4.406602e-14
  4.474244e+21  3.453705e-14
  5.020176e+21  2.663338e-14
  5.632733e+21  2.019171e-14
  6.320033e+21  1.505726e-14
  7.091196e+21  1.106027e-14
  7.956457e+21  7.989371e-15
  8.927276e+21  5.670244e-15
  1.001657e+22  3.950836e-15
  1.123878e+22  2.715270e-15
  1.261013e+22  1.848658e-15
  1.414880e+22  1.251488e-15
  1.587519e+22  8.458420e-16
  1.781226e+22  5.740885e-16
  1.998570e+22  3.934921e-16
  2.242433e+22  2.744320e-16
  2.516053e+22  1.952989e-16
  2.823052e+22  1.419486e-16
  3.167518e+22  1.053729e-16
  3.554016e+22  7.981395e-17
  3.987673e+22  6.157588e-17
  4.474244e+22  4.823831e-17
  5.020176e+22  3.820269e-17
  5.632733e+22  3.040855e-17
  6.320033e+22  2.415987e-17
  7.091196e+22  1.913204e-17
  7.956457e+22  1.517190e-17
  8.927276e+22  1.206100e-17
  1.001657e+23  9.598334e-18
