#
#  E_lab(GeV)   sig_inel(mb)
# 
   0.100000E+09   0.910922E+02
   0.125893E+09   0.931091E+02
   0.158489E+09   0.949527E+02
   0.199526E+09   0.970175E+02
   0.251189E+09   0.989021E+02
   0.316228E+09   0.101012E+03
   0.398107E+09   0.102937E+03
   0.501187E+09   0.105090E+03
   0.630957E+09   0.107052E+03
   0.794328E+09   0.109246E+03
   0.100000E+10   0.111243E+03
   0.125893E+10   0.113478E+03
   0.158489E+10   0.115509E+03
   0.199526E+10   0.117782E+03
   0.251189E+10   0.119847E+03
   0.316228E+10   0.122155E+03
   0.398107E+10   0.124251E+03
   0.501187E+10   0.126593E+03
   0.630957E+10   0.128720E+03
   0.794328E+10   0.131097E+03
   0.100000E+11   0.133252E+03
   0.125893E+11   0.135661E+03
   0.158489E+11   0.137845E+03
   0.199526E+11   0.140286E+03
   0.251189E+11   0.142496E+03
   0.316228E+11   0.144967E+03
   0.398107E+11   0.147204E+03
   0.501187E+11   0.149704E+03
   0.630957E+11   0.151966E+03
   0.794328E+11   0.154494E+03
   0.100000E+12   0.156782E+03
   0.125893E+12   0.159337E+03
   0.158489E+12   0.161647E+03
   0.199526E+12   0.164229E+03
   0.251189E+12   0.166564E+03
   0.316228E+12   0.169171E+03
   0.398107E+12   0.171528E+03
   0.501187E+12   0.174161E+03
   0.630957E+12   0.176541E+03
   0.794328E+12   0.179198E+03
   0.100000E+13   0.181599E+03
   0.125893E+13   0.184280E+03
   0.158489E+13   0.186703E+03
   0.199526E+13   0.189407E+03
   0.251189E+13   0.191850E+03
   0.316228E+13   0.194577E+03
   0.398107E+13   0.197040E+03
   0.501187E+13   0.199790E+03
   0.630957E+13   0.202273E+03
   0.794328E+13   0.205045E+03
   0.100000E+14   0.207547E+03
   0.125893E+14   0.210340E+03
   0.158489E+14   0.212861E+03
   0.199526E+14   0.215675E+03
   0.251189E+14   0.218215E+03
   0.316228E+14   0.221051E+03
